"url","status","title","h1","error"
"https://houserabbit.org/acupuncture","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/adoptables","200","Adopt — House Rabbit Society","",""
"https://houserabbit.org/affiliates","200","Our Affiliates — House Rabbit Society","",""
"https://houserabbit.org/all-services","200","All Services — House Rabbit Society","",""
"https://houserabbit.org/allergies","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/articles","200","Articles and Updates — House Rabbit Society","",""
"https://houserabbit.org/babies","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/bay-area-resources","200","SF Bay Area Resources — House Rabbit Society","",""
"https://houserabbit.org/bay-area-veterinarians","200","SF Bay Area Veterinarians — House Rabbit Society","",""
"https://houserabbit.org/board","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/boarding","200","Boarding — House Rabbit Society","",""
"https://houserabbit.org/boarding-alternatives","200","Boarding Alternatives — House Rabbit Society","",""
"https://houserabbit.org/bonding-adoption","200","Bonding Adoption — House Rabbit Society","",""
"https://houserabbit.org/bottom-cleaning","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/care","200","Rabbit Care — House Rabbit Society","",""
"https://houserabbit.org/careers","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/cats","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/chaptermember","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/chapters","200","Adopt From A Chapter — House Rabbit Society","",""
"https://houserabbit.org/children-and-rabbits","200","Children and Rabbits — House Rabbit Society","",""
"https://houserabbit.org/chinese-resources","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/classes","200","Classes — House Rabbit Society","",""
"https://houserabbit.org/diet","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/dogs","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/donate","200","Donate — House Rabbit Society","",""
"https://houserabbit.org/education","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
"https://houserabbit.org/emergencies","0","","","Response status code does not indicate success: 429 (Too Many Requests)."
